,x,y
rasterized,9.139543,29.61525
phenotype,-24.976944,-7.4696965
disconnection,-7.9444566,22.162199
isotactic,-6.085791,1.5618978
averse,18.97684,-9.550928
Qualitatively,9.483698,27.326464
uninfluenced,18.998388,39.92323
burial,-45.061466,-9.950745
diatoms,-32.97814,-8.370771
telescope,-2.964298,-15.124702
allan,-24.013906,26.707926
parasites,-25.68313,-8.213536
latewood,-24.468498,19.339521
georeferenced,-10.625192,23.669779
ecogeomorphic,8.094645,21.070868
stabilised,10.14168,6.716649
DSDP,-36.690014,-40.200684
gradation,-0.16756597,11.798823
mason,29.368593,0.8753944
encourage,30.645252,-31.32569
branch,-29.874525,-26.594036
adapt,30.944197,-31.567726
Discharge,15.715566,38.28126
collocated,-4.148963,-17.567984
Correcting,16.60979,21.509848
outburst,-35.4698,25.808537
SLCP,29.019842,43.678932
abbott,-3.2909756,21.372242
strata,-41.09108,-15.384713
corrects,9.860744,-25.948566
SLCF,21.334032,44.08219
estimate,36.518105,-29.339794
gameplay,20.828457,-7.319552
PAYG,16.663609,-5.7671704
chlorine,-42.43589,-5.5861206
competes,-14.426092,-7.4558463
dgs,-14.6060705,40.498077
measurementsthe,-11.071473,-8.175808
ministries,25.69447,-4.840629
disturbed,-33.914978,-14.869552
hadslp,-2.0558462,-23.333431
competed,5.9522977,25.104042
EgC,19.888681,49.095127
Fst,17.92926,23.474396
Niger,-37.437225,-31.503187
reintroduced,19.386782,10.519638
reciprocally,-12.076284,7.324825
chevron,-24.079319,0.94873875
feldspar,-46.682194,-6.7253447
antilles,-26.851385,-41.21046
reintroduces,15.551656,35.175583
baiyanghe,1.3602954,3.7015352
seizures,11.032397,-12.1442795
olds,14.182249,7.18494
LAND,22.771933,45.489136
service,22.265137,-38.951622
Trenberth,29.528425,-17.965343
Aggregation,17.827997,36.332573
needed,33.021473,-33.38659
master,0.09284731,-10.755261
monoanionic,-21.850748,8.803371
genesis,-24.946804,-29.671904
Adapting,14.421723,27.025526
Secchi,33.08036,22.087105
biwavelet,24.156359,23.058203
rewards,16.863258,-11.717541
zeroth,20.32033,32.549744
yield,-14.59651,-42.480274
SPAs,-18.067265,17.262432
positively,-2.7501094,-42.67842
SOCD,3.0763705,45.988388
SOCC,11.623709,37.429474
ARFIMA,30.514166,22.742874
Alongside,20.359938,23.628267
regulator,-11.057294,7.7436204
idle,20.436302,25.141138
feeling,24.636055,-20.585009
Chicago,4.3359942,-16.741041
pliocene,-21.616947,-47.055042
Generally,0.44149265,-42.599884
spectrum,-20.5541,-22.595951
bbns,17.004986,19.291315
wbcsd,36.162384,-0.13404831
pandemics,31.006187,-5.543026
mishra,14.987477,8.450643
arousal,5.283969,-4.2735467
dozen,38.29729,-10.465192
foundational,14.877499,-10.733717
Then,-18.036345,-14.233377
vgd,-8.462534,-30.204124
Component,-10.483056,46.73672
They,32.254707,-25.303854
BIIS,2.630889,32.538326
vgp,-6.4720592,5.1721888
shipments,-36.449673,14.475227
committing,30.8237,0.05811393
sugarcane,-13.857474,-41.682022
limitless,23.401419,4.6182656
diminishing,20.478947,-34.359207
vexing,21.06558,-1.0060569
resonates,32.523895,-11.032246
metrics,2.4852223,-36.083866
simplify,33.504433,-28.72049
mouth,-38.81259,-23.186285
expanse,-19.352606,25.469673
hardwoods,-16.98067,21.68933
bradford,3.476542,13.70881
Lab,6.2804255,-16.764801
tech,17.364243,22.969456
prevention,22.272541,-36.186535
macrofossil,-33.247795,1.1208243
saying,18.09729,-3.4567368
tempted,17.399408,2.4559762
cheaply,-9.469312,16.50738
hypercube,-1.5582892,-5.625536
Resources,15.196514,-42.548473
orleans,-4.906235,6.5592546
seagrasses,-28.436579,-4.893674
RRCT,9.135106,22.18043
Ammonium,9.210403,28.0052
levering,-2.6422403,16.54471
rico,-36.74347,-33.27108
Extent,24.322468,39.71226
csoil,6.6249127,24.783663
rice,-14.431177,-42.321003
ricc,16.19594,25.006947
rica,-38.660706,-32.641895
Lineage,11.268649,24.996311
plate,-37.5549,-19.624498
Hatched,5.0105615,38.37105
plata,-14.074198,38.020542
plato,19.855568,40.65142
podaac,0.70917606,-20.714079
Burgundy,-2.2928503,12.746533
altogether,30.39402,-21.135647
eezs,-42.559296,10.610026
platy,1.5303073,4.2174597
HIPPO,-3.684667,-17.009289
Ecology,10.143962,-17.372438
KREEP,-25.107037,2.707563
ldr,18.188145,28.460325
accordance,3.8754585,-42.367264
Ris,9.514051,29.60395
patch,-22.475554,20.41202
Rio,40.715946,-17.134441
calculationsThe,8.730421,8.763878
precluding,18.929077,17.006449
programmatic,15.359684,22.371502
clarified,17.810726,1.8973131
sensitivity,-4.161887,-31.485014
Minolta,17.582567,39.69654
Anderson,26.567389,9.892002
ETwb,-20.929098,34.52874
tyndall,28.76904,7.126459
clarifies,22.000526,-4.4941926
Puanui,-26.208569,1.8621218
lots,17.519535,13.678963
Advances,20.289255,-17.387112
irr,13.190413,29.800074
WMPs,-2.218135,16.94083
iri,-6.4821095,51.59546
loti,6.5937033,18.623867
irm,-17.179457,-19.161299
conductive,-15.829997,-5.8606377
apatites,-8.791672,25.883661
ird,-42.539913,-18.369703
niuean,17.905281,-2.411503
spectrometers,-14.195869,-16.202318
extend,-33.90563,-28.094429
nature,6.006733,-42.58654
Physikalisch,15.108508,3.4029477
historicalNat,31.046833,21.898575
chandler,18.381948,16.847698
meridional,-28.723242,-29.645006
accessed,8.955925,-45.275383
Hiatuses,18.225641,36.641506
fissured,-18.586481,5.6023865
inflorescence,3.5746207,39.152554
GRF,28.871408,24.254242
airflow,-27.79888,-26.626698
himalayas,-40.832268,-27.603186
heating,-19.795593,-24.361822
himalayan,-40.138893,-25.01769
kbcc,-5.003402,23.95122
kbcg,-5.1093802,23.990095
charney,38.050953,-13.5257225
CICE,31.256441,15.480065
limitedly,8.609992,31.381899
HNL,-11.658833,32.778828
HNO,-16.048048,-13.74278
scatterometer,-3.7985258,-18.412605
dowsett,5.554336,8.274072
fra,37.30672,-1.7625378
fre,34.33382,-9.680076
union,-41.33455,-33.743645
fri,-22.54415,23.621216
frh,22.27506,-15.217724
mlut,5.0118747,5.184002
cue,6.3356423,-28.494894
kasten,-3.5339282,5.1093626
frl,11.7409725,5.8193502
much,0.632479,-41.442307
Wnv,36.13276,28.235508
Closely,18.529058,36.4872
frt,8.999239,49.355904
tallest,-14.764622,3.3425705
allelic,-8.828343,-14.857967
endemism,-28.941313,-5.7024536
Poseidon,-3.5189471,-19.825106
retrospect,-1.833576,6.43369
conifers,-30.611904,-12.704375
RSLGib,-12.126874,-25.255466
Consensus,21.442787,6.864775
jeol,-6.726995,-8.177371
doubts,30.889841,-16.486523
calculationsthe,8.743719,8.791772
Coniacian,-26.049843,16.21665
spin,-21.866638,-20.775957
skilfully,31.83675,19.113117
participatory,20.145628,-21.017982
tpeak,-4.250383,-30.474754
contingencies,6.162249,-4.429723
professionally,17.16267,3.2983427
TDD,4.24333,-24.424484
microbiological,-13.822392,7.3890247
miniature,-4.6336684,18.529709
oxyhydr,-38.69207,-1.3225409
k,-50.452442,-5.88347
moraines,-40.42249,-16.90753
riparian,-27.6371,-11.605714
leontief,23.614891,23.32318
conditioned,12.524666,-38.619427
anger,23.79492,-18.192888
eighteen,9.61397,9.675735
hong,-32.02342,22.215841
recover,31.3783,-30.544065
swampy,-4.291151,28.762182
mummified,-8.056774,10.397993
grisat,24.922712,29.708084
democracies,27.57859,-15.662298
Importantly,14.357215,-36.738525
split,-10.10049,-23.848867
brines,-18.112339,-1.9662282
principals,12.104667,28.32212
boiled,8.094877,5.9881334
FTWN,20.19659,17.430096
inadvertently,12.171959,-18.755173
qualifications,24.771893,-6.776494
polycyclic,-39.477577,0.2921641
boiler,10.811641,28.845234
Tracer,21.852114,33.029083
EBF,-20.114986,22.943815
Weaker,18.928524,36.98594
radionuclides,-17.60687,8.420803
EBM,4.426967,-28.056795
denaturing,-5.4515386,4.6595087
Isles,-37.235847,8.429065
academic,26.372847,-33.649708
academia,22.771273,-20.610058
Table,-3.6483512,-43.373524
corporate,21.548279,-36.19291
Rapid,-28.721697,-34.906586
NARCCAP,0.8019117,-28.85932
golden,-22.689732,24.967257
homogeneity,2.6954503,-33.803352
ageostrophic,17.206554,12.574339
dswa,-12.602407,-28.067204
portrayed,14.358868,-0.6779302
hydropiper,4.075184,0.91416234
ham,3.1853025,-12.510852
han,-14.126231,-26.057472
hao,11.584422,22.80687
cloacal,8.234858,32.29909
Whiskers,17.01225,28.864468
advancement,-22.408148,-10.313886
fortran,24.469221,18.14291
Connecticut,43.399986,-4.0415583
cations,-39.51589,-5.4016495
has,9.316236,-37.68784
hat,22.15582,15.018936
rescaled,36.935123,26.389017
municipal,25.751507,-33.82153
pbms,18.814543,-23.329878
survival,-25.701326,-10.524023
unequivocally,15.075985,-0.75310457
indicative,-40.391884,-12.38634
compaction,-21.743584,-6.3399134
shadoz,23.072062,25.46655
Concentrations,-39.9178,0.29351056
shadow,-19.307806,-3.6540043
Suitable,11.468086,34.998577
Tipping,34.48781,12.915633
riskiness,19.527744,8.245128
jakobshavn,2.7288163,8.238449
gadm,6.362035,-22.796207
gravimetry,-4.266736,-16.42393
plutons,-3.212836,30.747915
protolunar,-5.356637,3.003659
alice,7.5833273,19.72379
Driven,21.780373,38.72264
rstudio,3.7378163,-14.110757
Swedish,-36.078613,15.402054
effusion,3.554725,30.696503
beneficial,16.224339,-35.082134
crowd,16.765118,-6.232045
functionalized,4.8198366,5.8241076
czech,-40.18476,12.030077
crown,-19.50078,14.787107
proportionally,-12.713894,3.130557
deflection,-27.920755,-26.401241
captive,-22.295788,-10.275386
Between,16.612263,-27.100538
GDAL,6.160122,-23.45779
fdisp,-24.476889,32.866646
bottom,-14.356444,-33.765957
plucked,-6.3762083,12.640749
HadRM,14.3235855,40.006004
Watts,14.048436,24.757496
lswt,34.80865,31.949041
Biostratigraphic,-4.3718133,13.555438
NPCI,-17.432758,31.366035
barcode,-10.409172,-13.373224
Gsa,18.324816,37.20264
binder,25.664783,18.223724
Gsd,-26.515976,19.20797
Gsf,-3.3051662,3.4299269
filaments,-13.345791,-9.499725
Reconnaissance,-2.0059814,-15.081078
lswi,37.658455,27.97323
accelerations,-18.035397,-0.41230556
stokes,0.017285857,-31.840366
algebraic,13.02135,8.205726
rmsss,20.752834,9.866502
anomalous,-29.050446,-28.501139
bicentennial,17.492664,32.880882
detrainment,-12.515581,3.814796
Thames,-36.593422,15.5364065
aden,17.064964,37.223732
match,34.894745,-30.624771
mbl,-39.567333,2.7041883
mbm,-26.211067,22.126604
maxwell,24.542162,15.816729
marshall,-36.59147,-32.20053
mbg,25.411728,16.028545
nongovernmental,17.061426,-16.051668
mba,27.368034,-18.807478
mbb,6.714541,5.627859
mbc,-26.297419,32.50195
administer,18.04757,-0.80727017
beings,26.901005,-13.26354
valleys,-39.84072,-18.758419
mbt,-29.16218,15.159457
Valdes,8.096501,26.738033
shoots,-28.766872,-3.8057165
mbw,29.709126,23.96643
Plio,-20.57,-45.387253
mbr,-25.45503,6.232599
biozone,-27.866404,22.433977
fabric,-15.441129,4.8902917
chelsa,-1.304379,-24.533783
altitude,-33.620975,-23.87542
Device,-7.5416884,-5.9581356
LiCor,12.43088,24.351536
ubique,-13.345346,21.699337
denoting,-16.260927,-31.573545
verde,-36.604424,13.056298
mptc,12.354474,51.28789
hydrocode,37.481773,15.102214
safeguard,27.84226,-4.9062905
reintroductions,5.6583247,-1.3941513
exogenic,-14.278865,12.476745
toolkits,23.509792,-2.5314279
azo,-21.473452,13.569179
arrays,-9.982408,-7.700657
Household,19.005495,-11.057206
mgal,9.3924,11.623634
availabilityall,7.413598,-21.928722
pinpoints,-0.06475335,24.017708
County,15.96275,-46.379353
PEGASUS,3.5919333,-29.562067
unanimous,26.701387,26.820848
Brest,6.9821386,5.622846
Counts,9.9277115,30.326637
passenger,15.674909,-17.561443
palaeoclimate,4.92423,-49.39822
Calibration,-11.545303,-24.568344
Tales,32.75904,-13.140435
Crater,-20.88638,1.3880428
yarkovsky,2.3106043,10.455339
triangles,-17.4908,-35.050526
Multiscale,23.80715,33.28253
eventual,24.008512,-16.42068
crowns,-8.715667,6.148553
narrowband,5.907066,21.903145
Supraglacial,5.284547,10.8394985
argentimaculatus,-10.9405,30.59462
carbonaceous,-45.744186,-6.7164154
intrusions,-29.980453,-20.664011
vegetative,-24.949049,-10.200305
pocean,13.883405,37.42444
roll,2.6147037,-8.444122
lars,20.592676,8.713557
variably,-23.082987,1.7679771
palms,-28.534414,-9.500453
transported,-33.514923,-19.76592
Melbourne,43.287697,-9.853744
intent,13.429783,-11.770238
Philippon,2.2559373,14.576647
variable,3.649864,-35.88054
transporter,24.893696,35.93983
explosions,24.232231,-0.15312043
eilat,5.5087504,40.375156
continentally,-10.345027,2.8983204
mfep,-0.9207805,10.511442
Huaynaputina,-5.6052065,26.139463
ordination,-1.1260583,-32.720192
overturned,-21.772076,2.0813985
rasters,5.5111346,-22.885225
chain,-17.196047,-16.177723
osr,-26.012762,38.30981
osu,-11.3673525,-5.9692245
osm,6.533566,-23.05437
ingroup,25.260357,-16.422869
Crowther,8.957212,26.633705
chair,11.368092,-16.234999
osf,21.123491,29.299433
machv,0.011849804,-26.617142
amplification,-31.441843,-29.61212
megawatts,20.727482,16.616587
amoA,-30.582027,-1.9257798
crater,-40.541283,-17.220232
connecting,20.124544,-21.695372
oversight,21.423985,-18.132597
downloading,9.601715,-13.921724
deforming,-18.710629,-1.0497779
biomasspre,9.717432,6.4885635
olympus,-23.919708,-1.2299713
choice,18.271662,-30.609869
intragenerational,19.822266,-8.09735
embark,18.087944,-10.323192
murchison,-5.434814,15.385666
rationality,25.462238,-8.298948
stays,-17.927174,-5.73852
Barren,15.25088,34.231327
exact,36.529873,-19.312252
palaeoclimatology,24.399632,7.3699884
minute,-3.6718054,-14.855996
WUS,-15.350626,-22.866596
Tau,13.349506,28.94691
Tav,5.402155,21.71415
reining,13.314866,24.11061
underlain,-35.239788,-16.237932
Tax,23.85835,17.019875
skewed,-12.584802,-31.738073
pursue,30.325094,-31.494556
MMIS,4.3774357,19.922005
Katrina,-24.214281,-15.84042
WUE,-10.209253,-30.544882
Tan,10.204168,27.583496
Copernicus,12.294787,9.572675
RSCC,-8.563825,49.01055
meadow,-30.832188,-14.335126
hindered,-4.3959885,-40.172726
scen,-1.6617516,-28.196226
lengthened,-21.189625,-10.864153
incrementally,1.8046006,-5.3916106
vicariance,5.497666,35.245354
bagging,5.203587,10.792828
afe,13.562522,13.944155
celebrated,10.252041,-2.0212586
polygonal,-18.983593,-0.7122796
gome,-3.8400679,-22.421196
ground,-35.064617,-13.602028
boost,19.646767,-19.79859
unintentionally,4.3763213,-5.5355725
Me,-48.582172,-3.6788113
Md,3.0187314,32.749355
Mg,-48.031242,-9.086319
Ma,-17.164896,-45.273026
havonet,8.686472,4.437111
Mc,19.074844,41.794903
Mb,17.969429,42.02122
Mm,18.728477,41.514618
honour,19.565283,-5.7365704
Mo,-47.002197,-7.761106
Mn,-46.883347,-6.8494077
Mi,5.209793,41.473118
plucking,-9.660302,26.247925
Mk,-4.2788715,-47.957233
Mu,-38.58498,10.848975
Mt,-21.195736,-14.695818
Mw,13.864096,39.40796
Mp,3.0433521,32.751743
Ms,8.370416,25.335243
address,32.41487,-28.91148
dwindling,3.011377,2.752481
My,-15.949094,-29.003906
ME,2.8243785,-17.440641
MD,-35.252686,-38.852287
MG,-9.746658,24.902245
MF,0.5448412,1.0388098
MA,3.8148162,-17.348064
MC,-14.565569,-16.380987
MB,-3.1441472,2.3477707
MM,-27.484884,22.762383
impacted,-5.9459944,-41.2903
MO,-41.200848,-0.6083574
MN,12.564198,41.92952
MI,-27.717543,28.756306
MH,-13.738973,-29.114525
MK,2.3360178,-24.679277
MJ,-19.916569,-16.028502
MT,44.112865,27.795927
thermochronometric,-3.0449977,-1.474419
MV,7.133542,25.226488
Entropy,18.013678,35.34643
MP,0.28121823,47.38155
MS,-14.95892,-17.152622
MR,-4.798015,-47.73753
MX,-20.918686,39.766502
influx,-37.327873,-10.104169
reg,-4.2377095,50.655113
raise,28.756714,-29.183226
subsaturated,13.315481,32.853416
hclo,-14.4933605,-10.521466
wang,41.22896,-3.4603755
opposes,-15.773604,-7.214534
RPCs,0.06751519,9.784599
August,-9.560549,-54.013306
working,26.852041,-40.979362
perished,13.106123,-9.872416
optimize,33.45566,-29.119001
vigour,-1.702872,-0.35545024
opposed,12.337143,-27.839844
unjust,9.104646,10.086192
Bog,16.06374,39.359863
Those,34.50825,-18.697376
Iris,11.28442,39.019432
Klaus,8.677607,19.7772
Implications,22.15236,37.880817
assimilation,-1.6583577,-47.675316
tundra,-31.510056,-14.6858425
thompson,42.328384,-3.7977426
crfs,20.771301,29.252728
tines,-10.965399,38.807632
arable,-29.451614,-15.990789
riders,26.877068,-1.5247374
rebounding,14.422668,14.53515
lowercase,33.78872,-3.9765992
Similarity,14.076443,2.4843035
originally,9.250928,-38.293503
oscillator,-0.9308388,-10.87525
seasurface,5.732329,7.233251
YbN,14.744339,23.602514
Stratotype,15.953274,38.4353
following,10.348012,-35.75104
SSTMg,-14.124385,32.824238
JJA,-10.2101345,-52.81846
ammonite,-15.885088,10.767455
feox,-8.513038,33.269783
Magnoliidae,-9.487815,13.24735
macroseep,-18.67308,8.086704
mirrors,-14.730864,-2.4951549
iusat,11.306893,45.285507
locks,4.035264,25.548359
incremental,21.652586,-33.426487
ITCZ,-29.89993,-28.31406
laramide,-4.8690577,10.586984
erosionally,-0.7187735,21.056627
litre,44.737335,0.9838536
sudden,-28.482761,-34.679043
pCH,11.587945,43.82399
pCO,-47.13942,-0.44043893
Significant,-9.603895,-32.206795
extensions,25.98635,-7.983955
bulliform,-22.900824,21.146332
STD,-29.249598,27.024323
STE,-3.1396742,42.28102
STF,-29.968832,-26.794825
STG,-0.7891552,29.27981
atam,-0.47386357,9.419414
STB,-27.717783,9.41828
Bootstrapping,17.193678,25.28999
epidemiologic,10.280868,5.0308113
STN,5.623186,8.149193
STI,17.478575,28.03616
convincingly,15.774084,0.7609956
ACBR,-13.444166,27.963022
fueled,15.658558,34.324482
reassessment,25.841667,8.828771
structureWe,7.747687,0.96315676
tmeridional,16.172651,27.420933
temperate,-31.395147,-14.750841
exsolve,1.6139019,21.365768
quadrant,-14.850103,-32.555824
inhabiting,-28.465565,-6.9818606
subdivisions,36.073425,12.412414
mango,7.931633,37.26011
eoe,26.392561,-21.838522
pulled,-3.574704,-0.38290992
LL,-30.315712,2.868987
impactful,6.734218,10.515667
LIG,-20.319305,-44.28212
zmax,-9.748831,37.992138
LIA,-21.497658,-43.300922
webpage,31.447575,8.652827
LIM,28.444283,14.1115675
LIN,-10.700966,25.031073
clews,22.13277,-5.3321295
structuring,-25.93731,-6.8964357
episodes,-23.072422,-42.227448
Elias,-34.30254,9.034866
LIS,-43.628063,-22.4036
haptophyte,-31.76023,-2.2245467
Pocillopora,-26.82244,3.4851499
ovals,-16.349537,-32.489094
LIg,15.224624,22.355812
disconnect,24.15838,-12.773439
jin,-46.869865,12.956145
jim,6.0593624,-13.340888
mantling,-19.97074,1.5744175
suspension,-15.366174,-10.764197
LS,26.98526,27.560692
modestly,33.849617,-11.769839
Arrigo,2.631712,5.850381
recipients,13.371533,-12.466999
indigenous,26.89514,-31.687258
drilling,-36.72154,-40.133236
sorted,-38.624477,-13.925423
Candidatus,-16.317688,14.302191
materialized,6.4624724,-1.415759
didn,10.276159,-21.2196
dioctahedral,-12.215498,6.034652
Yellow,-17.212215,-34.239674
Kattegat,2.0935624,32.352196
Translating,21.092346,27.283703
Lesotho,0.6284777,-2.0537028
jmax,-22.62408,28.075878
translocation,-27.467697,-6.642363
neofs,14.386444,2.9882128
instability,-25.613188,-24.66368
quarter,-9.340161,-50.922062
perylene,4.905599,6.585024
quartet,-4.642618,0.0799304
reminded,21.538118,-6.5649505
honduras,11.14741,-1.2798809
vanishingly,-7.5134115,16.311453
bursting,-15.3622675,31.52392
growths,14.670289,11.138108
prisms,-19.930632,4.768646
Live,-13.191155,11.103372
Alley,-32.06168,6.5701704
entering,-32.930336,-21.654072
photosynthate,-35.157383,-4.1455398
presaged,-5.4120674,20.244162
urmia,-14.328548,4.6096506
Jiangsu,-41.86528,11.516444
nss,5.763236,40.21957
assessors,7.9999285,1.9922155
Keriya,0.5902124,32.21523
Gering,-30.52832,13.516897
cytb,-13.574224,17.166454
lagrangian,5.1793413,-27.61184
seriously,29.818428,-23.675316
internet,8.435685,-40.04774
plotting,1.0837828,-32.18215
complicates,19.359545,-26.939493
disintegrated,2.433285,8.06955
incentives,23.763502,-35.043404
minimized,-3.125442,-37.17071
aegypti,-1.8737679,-1.511367
Aquaplanet,5.009991,5.24399
jjas,7.454383,16.32872
RAPiD,20.427795,43.692684
Morava,-3.8903062,26.427557
Federation,4.4705534,-21.671469
modest,0.8880318,-43.08058
initiate,31.655424,-32.787395
marls,-23.171724,2.205448
Kepler,-21.669817,-19.815126
aboard,-7.052094,-21.858824
geomorphology,-19.783281,0.77422804
Owens,-34.356007,17.442225
